"Date","Video Views","Profile Views","Likes","Comments","Shares"
"16 March","3091","38","214","10","62"
"17 March","2516","29","174","6","41"
"18 March","2906","31","187","5","52"
"19 March","2400","37","157","6","45"
"20 March","2214","42","116","10","32"
"21 March","2128","26","112","2","51"
"22 March","3710","71","215","16","91"
"23 March","3115","51","227","8","80"
"24 March","1607","33","86","10","20"
"25 March","3349","55","190","13","85"
"26 March","54586","406","4322","51","1104"
"27 March","15072","148","1412","32","336"
"28 March","3566","48","249","12","60"
"29 March","2244","33","119","2","22"
"30 March","1623","19","96","4","23"
"31 March","1681","17","85","5","31"
"1 April","1319","28","63","3","18"
"2 April","1319","17","86","1","39"
"3 April","2541","73","177","21","88"
"4 April","2595","46","143","18","66"
"5 April","2248","37","122","8","36"
"6 April","1675","22","110","3","28"
"7 April","1818","30","127","6","35"
"8 April","1600","22","98","4","25"
"9 April","2058","39","108","18","52"
"10 April","1255","25","68","3","17"
"11 April","1370","16","64","3","19"
"12 April","1488","14","62","4","14"
"13 April","1406","17","58","3","23"
"14 April","1701","16","106","2","40"
"15 April","2350","54","152","36","56"
"16 April","1469","28","71","5","16"
"17 April","1394","13","89","1","27"
"18 April","1432","14","89","3","14"
"19 April","1174","19","64","1","9"
"20 April","2543","66","167","22","56"
"21 April","3691","77","234","18","72"
"22 April","1406","26","86","6","15"
"23 April","1264","18","88","3","24"
"24 April","946","13","49","2","11"
"25 April","7699","87","640","22","238"
"26 April","37059","358","3647","67","898"
"27 April","7271","106","804","12","116"
"28 April","3548","35","300","11","86"
"29 April","1832","30","145","3","33"
"30 April","1531","22","111","0","30"
"1 May","6205","61","353","12","99"
"2 May","4113","52","185","10","56"
"3 May","1834","18","75","5","26"
"4 May","1914","24","90","2","22"
"5 May","1434","17","84","3","14"
"6 May","2540","45","170","19","73"
"7 May","7812","81","612","9","264"
"8 May","2693","35","215","5","66"
"9 May","1717","27","104","5","28"
"10 May","1416","22","98","12","27"
"11 May","1414","41","88","1","37"
"12 May","1359","38","109","1","17"
"13 May","2201","37","191","25","91"
"14 May","1702","28","113","6","18"
"15 May","1465","25","80","5","24"
"16 May","1698","19","107","4","43"
"17 May","2112","24","156","8","41"
"18 May","1868","36","124","1","36"
"19 May","3148","57","235","25","91"
"20 May","6987","149","582","36","198"
"21 May","2543","37","173","11","52"
"22 May","2001","32","105","8","46"
"23 May","1594","21","76","0","25"
"24 May","1902","18","86","6","28"
"25 May","2082","23","93","3","27"
"26 May","1802","21","82","1","22"
"27 May","1907","34","104","29","48"
"28 May","1894","70","118","3","20"
"29 May","1540","28","65","0","18"
"30 May","3131","53","181","19","42"
"31 May","1632","25","62","5","17"
"1 June","1528","23","77","4","27"
"2 June","1126","13","45","1","16"
"3 June","1519","36","91","18","43"
"4 June","1183","20","50","3","21"
"5 June","10843","205","627","9","270"
"6 June","1885","28","91","4","35"
"7 June","1575","17","69","4","16"
"8 June","1537","13","59","0","29"
"9 June","1354","15","61","0","27"
"10 June","1236","18","67","0","18"
"11 June","1176","13","47","1","20"
"12 June","1130","9","48","3","19"
"13 June","1101","15","48","0","9"
"14 June","1157","14","54","1","18"
"15 June","1888","37","106","3","54"
"16 June","1041","16","53","1","17"
"17 June","920","6","47","1","18"
"18 June","1764","41","130","6","48"
"19 June","1305","23","64","2","13"
"20 June","1675","46","84","3","38"
"21 June","1325","30","64","7","25"
"22 June","1239","24","46","0","20"
"23 June","2135","44","111","3","36"
"24 June","1324","27","68","2","16"
"25 June","1080","14","38","0","24"
"26 June","992","14","28","0","14"
"27 June","2207","27","130","7","35"
"28 June","1675","21","71","1","29"
"29 June","1798","20","77","1","32"
"30 June","3275","67","167","17","52"
"1 July","3740","66","225","12","68"
"2 July","4015","69","254","12","62"
"3 July","1918","24","93","5","28"
"4 July","5627","47","330","4","59"
"5 July","5118","43","275","2","52"
"6 July","2266","23","107","0","31"
